,tau(fs),tau(au),S(tau),P_ion(tau),V_x(tau)
0,-7.082251423951201,-292.79,1.7369999999981844e-07,0.01484220562,1.1703112357219751e-05
1,-6.167913147967201,-254.99,2.7449800000002578e-06,0.01483963434,0.00018497625595808703
2,-5.253332983550401,-217.18,1.513550000000266e-06,0.01484086577,0.00010198529004014206
3,-4.3389947075664,-179.38,-3.390009999999777e-06,0.01484576933,-0.00022834855672648234
4,-3.4246564315824,-141.58,-2.215770000001116e-06,0.01484459509,-0.00014926442833686722
5,-2.5100762671656,-103.77,1.1201799999999151e-05,0.01483117752,0.0007552872983209462
6,-2.259237962352,-93.4,3.723469999999604e-06,0.01483865585,0.0002509304102500365
7,-2.0081577691056,-83.02,-6.727479000000029e-05,0.01490965411,-0.004512163025625032
8,-1.7570775758592,-72.64,-1.845806000000047e-05,0.01486083738,-0.0012420605601163284
9,-1.5059973826128,-62.26,0.00011861740999999891,0.01472376191,0.008056189085714366
10,-1.2551590777992,-51.89,-3.807100000000063e-05,0.01488045032,-0.0025584575185087968
11,-1.0040788845528,-41.51,-6.508277999999965e-05,0.0149074621,-0.004365785374024171
12,-0.7529986913064,-31.13,0.0002917817000000003,0.01455059762,0.02005290144227082
13,-0.50191849806,-20.75,-7.961599000000028e-05,0.01492199531,-0.0053354788247819305
14,-0.2510801932464,-10.38,-0.0006861691199999999,0.01552854844,-0.04418758924256541
15,0.0,0.0,3.626229999999578e-06,0.01483875309,0.0002443756546123363
16,0.2510801932464,10.38,0.0006496122700000006,0.01419276705,0.045770656821990226
17,0.50191849806,20.75,1.6376579999999655e-05,0.01482600274,0.0011045849840440305
18,0.7529986913064,31.13,-0.0002994018100000006,0.01514178113,-0.019773222676347096
19,1.0040788845528,41.51,7.970048999999917e-05,0.01476267883,0.005398782356359043
20,1.2551590777992,51.89,2.8785610000000086e-05,0.01481359371,0.0019431888415144124
21,1.5059973826128,62.26,-0.0001548279700000002,0.01499720729,-0.010323786756167469
22,1.7570775758592,72.64,8.286899999994379e-07,0.01484155063,5.583580992705463e-05
23,2.0081577691056,83.02,7.382388000000059e-05,0.01476855544,0.004998720443575123
24,2.259237962352,93.4,-4.37739999999999e-06,0.01484675672,-0.00029483880436346165
25,2.5100762671656,103.77,-1.6675520000000374e-05,0.01485905484,-0.0011222463460536212
26,3.4246564315824,141.58,-1.4266999999977548e-07,0.01484252199,-9.612247844126353e-06
27,4.3389947075664,179.38,4.8810000000121256e-08,0.01484233051,3.288567113313882e-06
28,5.253332983550401,217.18,-1.2400000000065137e-07,0.01484250332,-8.354385869232964e-06
29,6.167913147967201,254.99,-1.1974000000032625e-07,0.01484249906,-8.06737460560272e-06
30,7.082251423951201,292.79,9.213000000049543e-08,0.01484228719,6.2072643401327035e-06
31,7.9965896999352,330.59,2.3950000000577676e-08,0.01484235537,1.6136252908339896e-06
32,8.9109279759192,368.39,-1.6277000000099184e-07,0.01484254209,-1.0966450289580538e-05
33,9.825508140336,406.2,-8.628999999954479e-08,0.01484246561,-5.813724098603102e-06
34,10.73984641632,444.0,9.395000000016196e-08,0.01484228537,6.3298877267282975e-06
35,11.654184692304,481.8,0.0,0.01484237932,0.0
